Date,Time,Journey,Charge (GBP),Capped,Notes
11/09/2019,09:23 - 09:43,Canada Water to Victoria (London Underground),-2.90,N,
11/09/2019,19:04 - 19:27,Victoria (London Underground) to Canada Water,-2.40,N,
13/09/2019,09:24 - 09:45,Canada Water to Victoria (London Underground),-2.90,N,
13/09/2019,19:39 - 20:00,Victoria (London Underground) to Canada Water,-2.40,N,
13/09/2019,23:05 - 23:17,Canada Water to Shoreditch High Street,-1.70,Y,
13/09/2019,02:26 - 03:03,Shoreditch High Street to Canada Water,0.00,Y,
15/09/2019,14:07 - 14:31,Canada Water to South Kensington,-2.40,N,
15/09/2019,16:42 - 17:05,South Kensington to Canada Water,-2.40,N,
16/09/2019,09:09 - 09:38,Canada Water to Victoria (London Underground),-2.90,N,
16/09/2019,18:54 - 19:39,Victoria (London Underground) to Canada Water,-2.90,N,
17/09/2019,09:27 - 09:47,Canada Water to Victoria (London Underground),-2.40,N,
17/09/2019,18:57 - 19:26,Victoria (London Underground) to Canada Water,-2.40,N,
18/09/2019,09:16 - 09:39,Canada Water to Victoria (London Underground),-2.90,N,
18/09/2019,22:44 - 23:03,Victoria (London Underground) to Canada Water,-2.40,N,
19/09/2019,09:25 - 09:46,Canada Water to Victoria (London Underground),-2.90,N,
19/09/2019,20:09 - 20:27,Victoria (London Underground) to Canada Water,-2.40,N,
20/09/2019,09:40 - 10:06,Canada Water to Kings Cross St Pancras (Underground),-2.40,N,
20/09/2019,21:54 - 22:20,Kings Cross St Pancras (Underground) to Canada Water,-2.40,N,
21/09/2019,05:45 - 06:17,Canada Water to Clapham South,-2.40,N,
21/09/2019,06:43 - 07:09,Clapham Common to Canada Water,-2.40,N,
21/09/2019,19:47 - 19:52,Canada Water to Bermondsey,-1.50,N,
21/09/2019,21:14 - 21:32,Bermondsey to Moorgate,-0.70,Y,
21/09/2019,23:08 - 23:21,Shoreditch High Street to Canada Water,0.00,Y,
23/09/2019,09:14 - 09:43,Canada Water to Victoria (London Underground),-2.90,N,
23/09/2019,19:46 - 20:06,Victoria (London Underground) to Canada Water,-2.40,N,
24/09/2019,09:12 - 09:42,Canada Water to Victoria (London Underground),-2.90,N,
24/09/2019,19:08 - 19:33,Victoria (London Underground) to Bank,-2.40,N,
24/09/2019,22:30 - 23:00,Farringdon to Canada Water,-1.70,Y,
25/09/2019,09:14 - 09:40,Canada Water to Victoria (London Underground),-2.90,N,
25/09/2019,20:59 - 21:19,Victoria (London Underground) to Canada Water,-2.40,N,
26/09/2019,09:24 - 09:51,Canada Water to Victoria (London Underground),-2.90,N,
29/09/2019,22:18 - 23:30,Gatwick Airport to Canada Water,-10.70,N,
30/09/2019,08:50 - 09:31,Canada Water to Victoria (London Underground),-2.90,N,
30/09/2019,18:54 - 19:21,Victoria (London Underground) to Canada Water,-2.90,N,
01/04/2019,08:41,"Bus Journey, Route 264",-1.50,N,
01/04/2019,08:48 - 09:15,Tooting Broadway to Victoria (London Underground),-3.30,N,
01/04/2019,19:25 - 19:48,Victoria (London Underground) to Tooting Broadway,-2.80,N,
02/04/2019,08:44,"Bus Journey, Route 44",-1.50,N,
02/04/2019,08:53 - 09:18,Tooting Broadway to Victoria (London Underground),-3.30,N,
02/04/2019,21:06 - 21:29,Victoria (London Underground) to Tooting Broadway,-2.80,N,
03/04/2019,08:37,"Bus Journey, Route 44",-1.50,N,
03/04/2019,08:44 - 09:05,Tooting Broadway to Victoria (London Underground),-3.30,N,
03/04/2019,23:47 - 00:08,Victoria (London Underground) to Tooting Broadway,-2.80,N,
04/04/2019,08:31,"Bus Journey, Route 270",-1.50,N,
04/04/2019,08:38 - 09:03,Tooting Broadway to Victoria (London Underground),-3.30,N,
04/04/2019,20:49 - 21:12,Victoria (London Underground) to Tooting Broadway,-2.80,N,
05/04/2019,08:48,"Bus Journey, Route 77",-1.50,N,
05/04/2019,08:57 - 09:18,Tooting Broadway to Victoria (London Underground),-3.30,N,
05/04/2019,17:20 - 17:48,Victoria (London Underground) to Liverpool Street (London Underground),-2.40,N,
09/04/2019,23:27 - 00:08,Tottenham Hale (London Underground) to Tooting Broadway,-2.80,N,
10/04/2019,09:06,"Bus Journey, Route 270",-1.50,N,
10/04/2019,09:12 - 09:34,Tooting Broadway to Victoria (London Underground),-3.30,N,
10/04/2019,19:46 - 20:08,Victoria (London Underground) to Tooting Broadway,-2.80,N,
11/04/2019,09:01,"Bus Journey, Route 77",-1.50,N,
11/04/2019,09:06 - 09:29,Tooting Broadway to Victoria (London Underground),-3.30,N,
11/04/2019,18:00 - 18:23,Victoria (London Underground) to Tooting Broadway,-3.30,N,
12/04/2019,08:59,"Bus Journey, Route 77",-1.50,N,
12/04/2019,09:05 - 09:26,Tooting Broadway to Victoria (London Underground),-3.30,N,
12/04/2019,20:16 - 20:35,Victoria (National Rail Southern) to Wandsworth Town,-2.50,N,
12/04/2019,01:43,"Bus Journey, Route N44",-0.90,Y,
15/04/2019,08:37,"Bus Journey, Route 280",-1.50,N,
15/04/2019,08:42 - 09:05,Tooting Broadway to Victoria (London Underground),-3.30,N,
15/04/2019,20:44 - 21:08,Victoria (London Underground) to Tooting Broadway,-2.80,N,
16/04/2019,08:53 - 09:14,Tooting Broadway to Victoria (London Underground),-3.30,N,
16/04/2019,19:03 - 19:26,Victoria (London Underground) to Tooting Broadway,-2.80,N,
17/04/2019,08:46 - 09:09,Tooting Broadway to Victoria (London Underground),-3.30,N,
17/04/2019,18:35 - 18:56,Victoria (London Underground) to Tooting Broadway,-3.30,N,
18/04/2019,09:20,"Bus Journey, Route 355",-1.50,N,
18/04/2019,09:26 - 09:45,Tooting Broadway to Victoria (London Underground),-3.30,N,
18/04/2019,22:29 - 22:29,Victoria (London Underground) to East Finchley,-2.80,N,This journey was corrected based on information you supplied.
18/04/2019,00:35 - 00:35,Victoria (London Underground) to East Finchley,-0.60,Y,This journey was corrected based on information you supplied.
22/04/2019,12:03 - 12:38,Tooting Broadway to Angel,-2.80,N,
22/04/2019,18:10 - 18:43,Angel to Tooting Broadway,-2.80,N,
23/04/2019,08:46,"Bus Journey, Route 44",-1.50,N,
23/04/2019,08:53 - 09:14,Tooting Broadway to Victoria (London Underground),-3.30,N,
23/04/2019,19:02 - 19:23,Victoria (London Underground) to Tooting Broadway,-2.80,N,
24/04/2019,09:09 - 09:32,Tooting Broadway to Victoria (London Underground),-3.30,N,
24/04/2019,18:42 - 19:11,Victoria (London Underground) to Tooting Broadway,-3.30,N,
